Saw 3D,horror film,Tobin Bell|Costas Mandylor|Betsy Russell|Sean Patrick Flanery|Cary Elwes|Gina Holden|Dean Armstrong|Chester Bennington|Tanedra Howard|Noam Jenkins|Shawnee Smith|Bahar Soomekh|Leigh Whannell|Erik Knudsen|Chad Donella|Gabby West|Greg Bryk|James Van Patten|Kevin Rushton|Rebecca Marshall|Shauna Macdonald,
Sea Rex,,,
Shrek Forever After,action film|fantasy film|comedy film|children's film|flashback film,,time travel
Space Dogs,comedy film|adventure film,,
Step Up 3D,romance film|musical film|drama film|teen film,Rick Malambri|Sharni Vinson|Adam G. Sevani|Alyson Stoner|Harry Shum|Keith Stallworth|Mari Koda,
StreetDance 3D,drama film,Charlotte Rampling|Eleanor Bron|Jeremy Sheffield|George Sampson|Chris Wilson|Flawless|Diversity|Flawless|Nichola Burley|Patrick Baladi|Jocelyn Jee Esien|Richard Winsor|Chris Wilson|David L. Cunningham|Frank Harper|Rachel McDowall,
Tangled,musical film|fantasy film|comedy film|coming-of-age story|computer-animated film,,false imprisonment|fountain of Youth|adolescence|parent-child relationship|kidnapping
Toonpur Ka Super Hero,,Ajay Devgan|Kajol|Tanuja|Vivek Vaswani,
Toy Story 3,buddy film|comedy-drama|comedy film|flashback film,,
Tron: Legacy,science fiction film|action film|fantasy film,Jeff Bridges|Garrett Hedlund|Olivia Wilde|Bruce Boxleitner|Michael Sheen|James Frain|Beau Garrett|Serinda Swan|Yaya DaCosta|Cillian Murphy|Daft Punk|Jeffrey Nordling,computing|telepresence
A Turtle's Tale: Sammy's Adventures,,,
Winx Club 3D: Magical Adventure,fantasy film,Letizia Ciampa|Perla Liberatori|Domitilla D'Amico|Ilaria Latini|Gemma Donati|Laura Lenghi,
Yogi Bear (film),comedy film|children's film|live-action/animated film|adventure film|family film,Anna Faris|Tom Cavanagh|T.J. Miller|Andrew Daly,bear
Yu-Gi-Oh!: Bonds Beyond Time,fantasy film|children's film|fictional crossover,Yuya Miyashita|Shunsuke Kazama|Kenn|Atsushi Tamura|Takanori Hoshino|Shintarō Asanuma|Ayumi Kinoshita|Kappei Yamaguchi|Hiromi Tsuru|Tadashi Miyazawa|Greg Abbey|Dan Green|Sean Schemmel|Ted Lewis|Tom Wayland|Eileen Stevens|Wayne Grayson|Darren Dunstan,time travel
3D Sex and Zen: Extreme Ecstasy,erotic film,Saori Hara,
The Adventures of Tintin (film),adventure film|treasure hunt film,,alcoholism
Aphrodite: Les Folies Tour,,,
Arthur Christmas,comedy-drama|children's film|Christmas film,,
Battle of Warsaw 1920,drama film|historical fiction|war film,Adam Ferency|Borys Szyc|Daniel Olbrychski|Wojciech Pszoniak|Natasza Urbańska|Olga Kabo|Bogusław Linda|Jerzy Bończak|Ewa Wiśniewska|Aleksandr Domogarov|Stanisława Celińska|Wiktor Zborowski|Marian Dziędziel,
Born to Be Wild (2011 film),nature documentary|documentary film,Morgan Freeman|Birutė Galdikas|Daphne Sheldrick,
Brasil Animado,comedy film|children's film,Fernando Meirelles|Daiane dos Santos,
Captain America: The First Avenger,action film|science fiction film|superhero film|war film,Tommy Lee Jones|Hayley Atwell|Stanley Tucci|Chris Evans|Hugo Weaving|Sebastian Stan|Dominic Cooper|Neal McDonough|Derek Luke|Toby Jones|Samuel L. Jackson|Richard Armitage|Natalie Dormer|Amanda Righetti|Jenna Coleman|JJ Feild|Kenneth Choi|Michael Brandon|Stan Lee,World War II|Nazism and occultism
Cars 2,spy film|action film|buddy film,,automobile
The Centrifuge Brain Project,,,
Conan the Barbarian (2011 film),adventure film|fantasy film|action film,Jason Momoa|Rachel Nichols|Stephen Lang|Rose McGowan|Ron Perlman|Bob Sapp|Leo Howard|Laila Rouass|Saïd Taghmaoui|Nathan Jones|Morgan Freeman|Nonso Anozie|Steven O'Donnell,
Crackers (2011 film),,,
The Darkest Hour (film),action film|thriller film|science fiction film|horror film,Emile Hirsch|Olivia Thirlby|Max Minghella|Rachael Taylor|Joel Kinnaman|Artur Smolyaninov|Gosha Kutsenko,
Derrière les murs,thriller film,Roger Dumas|Laetitia Casta|Thierry Neuvic|Anne Benoît|Anne Loiret|Jacques Bonnaffé,
Dolphin Tale,drama film|children's film,Morgan Freeman|Ashley Judd|Kris Kristofferson|Harry Connick, Jr.|Nathan Gamble|Frances Sternhagen|Tom Nowicki|Kim Ostrenko|Jim Fitzpatrick|Cozi Zuehlsdorff|Austin Stowell|Ray McKinnon|Juliana Harkavy,
Don 2,action film|crime film|3D film,Shahrukh Khan|Priyanka Chopra|Boman Irani|Lara Dutta|Kunal Kapoor|Om Puri|Florian Lukas|Hrithik Roshan,
Doraemon: Nobita and the New Steel Troops—Winged Angels,science fiction film|alien invasion,Wasabi Mizuta|Yumi Kakazu|Subaru Kimura|Tomokazu Seki|Miyuki Sawashiro|Masaharu Fukuyama|Kotono Mitsuishi|Yasunori Matsumoto,cat|alien invasion
Drive Angry,action film|fantasy film|exploitation film,Nicolas Cage|Amber Heard|William Fichtner|Billy Burke|Katy Mixon|David Morse|Todd Farmer|Christa Campbell|Pruitt Taylor Vince|Charlotte Ross|Jack McGee|Tom Atkins,supernatural
Final Destination 5,horror film,Nicholas D'Agosto|Emma Bell|Miles Fisher|Arlen Escarpeta|David Koechner|Tony Todd|Jacqueline MacInnes Wood|Courtney B. Vance|Devon Sawa|Kerr Smith|Amanda Detmer,
The Flying Machine (film),adventure film|children's film,Heather Graham|Lang Lang,aviation
Flying Swords of Dragon Gate,action film|martial arts film|adventure film,Jet Li|Chen Kun|Louis Fan|Gordon Liu|Mavis Fan|Gwei Lun-Mei|Zhou Xun|Li Yuchun,
Fright Night (2011 film),teen film|comedy horror|vampire film|film adaptation|comedy film,Anton Yelchin|Colin Farrell|Christopher Mintz-Plasse|David Tennant|Imogen Poots|Toni Collette|Dave Franco|Grace Phipps|Chris Sarandon|Lisa Loeb|Reid Ewing,
Glee: The 3D Concert Movie,documentary film|musical film|LGBT-related film,Dianna Agron|Chris Colfer|Darren Criss|Kevin McHale|Lea Michele|Cory Monteith|Heather Morris|Amber Riley|Naya Rivera|Mark Salling|Jenna Ushkowitz|Harry Shum|Chord Overstreet|Ashley Fink|Gwyneth Paltrow|Kevin McHale,
Gnomeo & Juliet,romantic comedy|musical film|fantasy film|children's film,,
The Green Hornet (2011 film),buddy film|comedy film|superhero film|science fiction film|action film,Seth Rogen|Christoph Waltz|Cameron Diaz|Edward James Olmos|David Harbour|Tom Wilkinson|Analeigh Tipton|Edward Furlong|James Franco|Jay Chou|Chad Coleman|Jamie Harris|Robert Clotworthy|Taylor Cole,
Green Lantern (film),action film|science fiction film|superhero film|fantasy film,Ryan Reynolds|Blake Lively|Mark Strong|Peter Sarsgaard|Temuera Morrison|Tim Robbins|Angela Bassett|Jay O. Sanders|Mike Doyle|Geoffrey Rush|Michael Clarke Duncan|Jon Tenney|Taika Waititi,Green Lantern Corps|terrorism
